Name;Action;Industry;Company;Текущее имя
Agrana;continue operating plant in Russia;Consumer Staples;Austria;None
Agricultural Bank of China;Russian companies open accounts with the bank, decline to comment;Financials;China;None
Air China;still flying to Russia;Industrials;China;None
Air Serbia;still flying to Russia;Industrials;Serbia;None
Alibaba;still operating in Russia;Consumer Discretionary;China;None
Align Technology;still operating in Russia;Health Care;United States;None
Alpina Žiri;distributors in Russia ;Consumer Discretionary;Slovenia;None
Alumil;Not disclosed publicly;Materials;Greece;None
Anadolu Efes;still operating in Russia;Consumer Staples;Turkey;None
ANT Group;joint venture with the Russian Sovereign Wealth Fund;Information Technology;China;None
Anta Sports;still operating and providing online sales to Russia;Consumer Discretionary;China;None
Antal;still operating and actively hiring in Russia;Industrials;United Kingdom ;None
AnyDesk Software;still providing services to Russia, not disclosed publicly ;Information Technology;Germany;None
Ariston Group;still operating and actively hiring in Russia;Consumer Discretionary;Italy;None
Auchan-Retail;still operating in Russia;Consumer Staples;France;None
AUMA Riester GmbH &amp, Co ;Still operating in and selling to Russia;Industrials;Germany;None
B. Braun;still operating in Russia;Health Care;Germany;None
Babolat;still operating and selling to Russia;Consumer Discretionary;France;None
Bajaj Auto;business as usual;Consumer Discretionary;India;None
Benetton;continue operations in Russia;Consumer Discretionary;Italy;None
Bharat Petroleum (BPCL);bought 2 million barrels of Russian Urals for May loading;Energy;India;None
Binbit;Operating in Russia;Communication Services;Mexico;None
Boggi;still operating in Russia &amp, online sales running;Consumer Discretionary;Italy;None
BPW;still cooperating with dealers in Russia, not disclosed publicly ;Consumer Discretionary;Germany;None
Bruker;Business as usual;Industrials;United States;None
BT Group;Business as usual;Communication Services;United Kingdom;None
Buzzi Unicem;continue operating plants in Russia;Materials;Italy;None
Calzedonia;continue sales in Russia;Consumer Discretionary;Italy;None
Camille Albane;franchised salons continue to operate;Consumer Discretionary;France;None
Carl's Jr. | CLK;still operating in Russia;Consumer Discretionary;United States;None
Cham Wings;still flying to Russia;Industrials;Syria;None
ChampionX;Business as usual;Energy;United States;None
Charoen Pokphand Foods ;still operating in Russia;Consumer Staples;Thailand;None
Check Point Software;selling cybersecurity products in Russia;Information Technology;Israel;None
China Communications Construction Company;planning new infrastructural projects;Industrials;China;None
China Construction Bank;Russian companies open accounts with the bank, decline to comment;Financials;China;None
China Life Insurance Company;offices in Russia, actively looks for new Russian employees;Financials;China;None
China Minmetals;discussing investments with Chinese government to booster stakes in Russian energy and commodity companies;Materials;China;None
China Mobile;business as usual;Communication Services;China;None
China National Petroleum Corporation;business as usual;Energy;China;None
China Railway Construction Corporation;continues to build Vladivostok highway in March 2022;Industrials;China;None
China Railway Engineering Corporation;business as usual;Industrials;China;None
China State Construction Engineering; contractor to the Russian state;Industrials;China;None
China State Railway Group Company;increasing coal shipments from Russia;Industrials;China;None
China United Network Communications;a subsidiary in Russia: China Unicom (Russia) Operations Limited Liability Company, business as usual;Communication Services;China;None
Chipita;Not disclosed publicly, still operating in Russia;Consumer Staples;Greece;None
CLAAS;still operating in Russia, not disclosed publicly;Industrials;Germany;None
Clarins;still selling online in Russia;Consumer Discretionary;France;None
CLINTON;still operating in Russia (Camp David);Consumer Discretionary;Germany;None
Cloudflare;continue sales &amp, services in Russia;Information Technology;United States;None
Coal India;expecting highest import level in 2 years;Energy;India;None
Coface;Business as usual;Financials;France;None
Cofix Coffee;maintains locations in Russia;Consumer Staples;Israel;None
Colin's;still selling online;Consumer Discretionary;Turkey;None
Coloplast ;Business as usual;Health Care;Denmark;None
Convatec;Business as usual;Health Care;United Kingdom;None
Corendon Airlines;still flying to Russia;Industrials;Turkey;None
Cremonini Group;continue sales in Russia;Consumer Staples;Italy;None
Criteo ;Business as usual;Consumer Discretionary;France;None
De Cecco;continue sales and operations in Russia;Consumer Staples;Italy;None
Deep in Russia;still offering trips to Russia;Industrials;Belgium;None
Dentsply Sirona;Business as usual;Health Care;United States;None
Dessange International ;still operating salons in Russia;Consumer Discretionary;France;None
Didi;explicitly reversed decision to exit Russia;Industrials;China;None
